,user_id,own_recommendations
0,1,"[995242, 940947, 1082185, 9527290, 986947]"
1,2,"[8090521, 1075368, 1133018, 5569230, 1106523]"
2,3,"[1053690, 951590, 1092026, 1106523, 910032]"
3,4,"[1075368, 962229, 883404, 5569230, 9527290]"
4,5,"[1126899, 5568378, 1096036, 874972, 1071939]"
5,6,"[1082185, 840361, 5569230, 849843, 1037863]"
6,7,"[1126899, 1022003, 1082185, 1106523, 961554]"
7,8,"[1005186, 5569471, 5569230, 1133018, 862349]"
8,9,"[1070820, 1029743, 826249, 1098066, 995242]"
9,10,"[1106523, 1113588, 1005186, 868764, 999971]"
10,11,"[1005186, 995242, 854852, 1024306, 1127831]"
11,12,"[1056509, 981760, 995965, 862349, 1006184]"
12,13,"[6534178, 1029743, 995242, 1126899, 1058997]"
13,14,"[6533765, 951590, 6534178, 981760, 1029743]"
14,15,"[1070820, 1029743, 1082185, 845208, 995242]"
15,16,"[866227, 6410462, 1082185, 1082185, 6534178]"
16,17,"[6534178, 1044078, 857849, 995242, 904360]"
17,18,"[6533889, 826249, 840361, 995242, 854852]"
18,19,"[962229, 6534178, 1029743, 844165, 879755]"
19,20,"[1126899, 1058997, 1075368, 6534178, 883404]"
20,21,"[1029743, 1106523, 6534178, 904360, 1096036]"
21,22,"[1070820, 1082185, 6534178, 995965, 826249]"
22,23,"[1075368, 981760, 6534178, 1029743, 951590]"
23,24,"[844165, 1106523, 1092026, 999971, 1053690]"
24,25,"[826249, 995242, 883404, 1029743, 1106523]"
25,26,"[1070015, 849843, 923746, 907014, 994928]"
26,27,"[1003600, 986912, 918733, 1082185, 1077555]"
27,28,"[1005186, 940947, 6534178, 916122, 903325]"
28,29,"[883404, 5568378, 826249, 925626, 995242]"
29,30,"[6534178, 1106523, 1127831, 923746, 1005186]"
30,31,"[1126899, 1058997, 6534178, 1070820, 854852]"
31,32,"[908846, 1005186, 1058997, 862349, 961554]"
32,33,"[1106523, 1005186, 986912, 1096036, 6533765]"
33,34,"[879755, 1092026, 986912, 883404, 981760]"
34,35,"[1126899, 1058997, 6534178, 908531, 940947]"
35,36,"[962229, 1029743, 995242, 1024306, 866211]"
36,37,"[844165, 1053690, 1092026, 6533889, 916381]"
37,38,"[986912, 1082185, 866211, 8090521, 1085604]"
38,39,"[1126899, 1082185, 995785, 923746, 909894]"
39,40,"[6534178, 995242, 903325, 840361, 961554]"
40,41,"[1126899, 909714, 1058997, 1082185, 849843]"
41,42,"[976998, 981760, 953476, 1082185, 961554]"
42,43,"[1120741, 844165, 6534178, 879755, 908531]"
43,44,"[951590, 849843, 1005186, 1026118, 981760]"
44,45,"[8090537, 1070015, 1106523, 1044078, 844165]"
45,46,"[1029743, 995242, 849843, 826249, 1082185]"
46,47,"[1005186, 951590, 8090537, 995785, 995242]"
47,48,"[1127831, 916122, 968215, 6534178, 6533889]"
48,49,"[1070820, 5569471, 862349, 6534178, 893501]"
49,50,"[1005186, 908531, 962229, 909894, 1133018]"
50,51,"[962229, 1029743, 951590, 965766, 1110572]"
51,52,"[1053690, 1133018, 5569230, 1106523, 1082185]"
52,53,"[5569471, 6034857, 1058997, 904360, 6534178]"
53,54,"[1110572, 908531, 883404, 995242, 1038217]"
54,55,"[844165, 849843, 995242, 871756, 986912]"
55,56,"[1058997, 908531, 5569230, 940947, 981760]"
56,57,"[1133018, 986912, 6534178, 995785, 879755]"
57,58,"[1058997, 6534178, 1095275, 1106523, 1127831]"
58,59,"[1056509, 981760, 995785, 845208, 834484]"
59,60,"[961554, 1029743, 909714, 916122, 995785]"
60,61,"[5569471, 1056509, 5569230, 1082185, 6534178]"
61,62,"[1082185, 6534178, 1029743, 995242, 1106523]"
62,63,"[1068719, 1082185, 6534178, 1029743, 995242]"
63,64,"[976998, 1065593, 862349, 866227, 951590]"
64,65,"[1070820, 986912, 962229, 1085604, 1029743]"
65,66,"[1070015, 916381, 1029743, 933835, 8090521]"
66,67,"[862349, 951590, 933835, 1029743, 6534178]"
67,68,"[1085604, 879755, 1080414, 1029743, 951590]"
68,69,"[951590, 1133018, 1106523, 995785, 1044078]"
69,70,"[1039156, 995242, 1055863, 1124729, 981760]"
70,71,"[1056509, 1005186, 1044078, 1127831, 908531]"
71,72,"[862349, 860776, 1082185, 5585510, 1127831]"
72,73,"[1070820, 1005186, 6534178, 1085604, 866227]"
73,74,"[1133018, 1005186, 981760, 1082185, 5569374]"
74,75,"[480014, 1082185, 6534178, 1029743, 995242]"
75,76,"[1058997, 901062, 1026118, 903325, 909714]"
76,77,"[1126899, 1106523, 1082185, 908531, 1003188]"
77,78,"[849843, 1082185, 923746, 896369, 1003188]"
78,79,"[1070820, 1070015, 862349, 1053690, 6533889]"
79,80,"[1005186, 1082185, 849843, 878996, 995242]"
80,81,"[844165, 1029743, 999971, 995242, 849843]"
81,82,"[5569230, 1053690, 995965, 860776, 874972]"
82,83,"[923746, 1082185, 6534178, 5592931, 1065593]"
83,84,"[1080414, 951590, 5569374, 995242, 1082185]"
84,85,"[986912, 826249, 1005186, 1075368, 961554]"
85,86,"[951590, 1005186, 854852, 1082185, 1029743]"
86,87,"[1037863, 845208, 979707, 962568, 1082185]"
87,88,"[8090521, 1075368, 6534178, 962229, 883404]"
88,89,"[986947, 1024306, 860776, 1127831, 9526410]"
89,90,"[1070820, 986912, 1082185, 6533889, 1068719]"
90,91,"[6534178, 1029743, 1058997, 989101, 1082185]"
91,92,"[1058997, 860776, 834484, 994928, 845208]"
92,93,"[1058997, 6034857, 901062, 847982, 1082185]"
93,94,"[1005186, 1003600, 6534178, 1037863, 979707]"
94,95,"[849843, 908531, 995242, 6533889, 1029743]"
